question_id,question_data,subquestions,text,data
CPA,"Tenho conhecimento das atividades desenvolvidas pela Comissão Própria de Avaliação (CPA) - no caso de servidor do campus de GV, da Comissão Setorial Própria de Avaliação (CSPA).",CPA,"Tenho conhecimento das atividades desenvolvidas pela Comissão Própria de Avaliação (CPA) - no caso de servidor do campus de GV, da Comissão Setorial Própria de Avaliação (CSPA).","['Não concordo nem discordo', 'Discordo totalmente', 'Concordo', 'Discordo totalmente', 'Não concordo nem discordo', 'Discordo', 'Discordo', 'Concordo', 'Concordo', 'Discordo', 'Concordo totalmente', 'Discordo totalmente', 'Não concordo nem discordo', 'Concordo', 'Discordo totalmente', 'Não concordo nem discordo', 'Concordo totalmente', 'Não concordo nem discordo', 'Discordo', 'Discordo', 'Discordo totalmente']"
APLRF,A aplicação dos recursos financeiros da UFJF é satisfatória quanto à (ao):,APLRF[DAtEn],Desenvolvimento das atividades de ensino,"['Discordo totalmente', 'Discordo totalmente', 'Discordo totalmente', 'Discordo totalmente', 'Concordo', 'Concordo totalmente', 'Discordo', 'Concordo', 'Concordo', 'Discordo', 'Concordo', 'Discordo', 'Concordo', 'Concordo', 'Discordo', 'Concordo totalmente', 'Concordo', 'Discordo', 'Concordo', 'Discordo', 'Concordo']"
APLRF,A aplicação dos recursos financeiros da UFJF é satisfatória quanto à (ao):,APLRF[DAtPe],Desenvolvimento das atividades de pesquisa,"['Discordo totalmente', 'Discordo totalmente', 'Discordo totalmente', 'Discordo totalmente', 'Concordo', 'Concordo totalmente', 'Discordo', 'Não concordo nem discordo', 'Discordo totalmente', 'Não concordo nem discordo', 'Discordo', 'Discordo', 'Discordo', 'Concordo', 'Discordo', 'Concordo totalmente', 'Discordo totalmente', 'Discordo', 'Concordo', 'Discordo', 'Concordo']"
APLRF,A aplicação dos recursos financeiros da UFJF é satisfatória quanto à (ao):,APLRF[DAtEx],Desenvolvimento das atividades de extensão,"['Discordo', 'Discordo totalmente', 'Discordo totalmente', 'Discordo totalmente', 'Concordo', 'Concordo', 'Não concordo nem discordo', 'Não concordo nem discordo', 'Não sei / Não se aplica', 'Discordo', 'Concordo', 'Discordo', 'Não concordo nem discordo', 'Concordo', 'Discordo', 'Concordo totalmente', 'Discordo', 'Concordo totalmente', 'Concordo', 'Discordo', 'Não concordo nem discordo']"
APLRF,A aplicação dos recursos financeiros da UFJF é satisfatória quanto à (ao):,APLRF[DAtInov],Desenvolvimento de ações de inovação,"['Discordo', 'Discordo totalmente', 'Discordo totalmente', 'Não sei / Não se aplica', 'Concordo', 'Não concordo nem discordo', 'Não concordo nem discordo', 'Não concordo nem discordo', 'Discordo', 'Discordo', 'Não concordo nem discordo', 'Não sei / Não se aplica', 'Não concordo nem discordo', 'Concordo', 'Não sei / Não se aplica', 'Concordo totalmente', 'Não sei / Não se aplica', 'Concordo totalmente', 'Concordo', 'Discordo', 'Não concordo nem discordo']"
APLRF,A aplicação dos recursos financeiros da UFJF é satisfatória quanto à (ao):,APLRF[AqEqi],Aquisição de equipamentos e insumos,"['Discordo totalmente', 'Discordo totalmente', 'Discordo totalmente', 'Discordo totalmente', 'Não sei / Não se aplica', 'Não concordo nem discordo', 'Discordo', 'Discordo', 'Discordo totalmente', 'Discordo', 'Não concordo nem discordo', 'Discordo', 'Discordo', 'Concordo', 'Discordo', '', 'Discordo', 'Discordo totalmente', 'Concordo', 'Discordo', 'Discordo']"
APLRF,A aplicação dos recursos financeiros da UFJF é satisfatória quanto à (ao):,APLRF[MAREF],"Manutenção, ampliação e reformas do espaço físico","['Discordo totalmente', 'Discordo totalmente', 'Discordo totalmente', 'Discordo totalmente', 'Concordo', 'Concordo', 'Discordo', 'Discordo', 'Não concordo nem discordo', 'Discordo', 'Discordo', 'Discordo', 'Discordo', 'Discordo', 'Concordo', 'Concordo totalmente', 'Discordo', 'Discordo totalmente', 'Concordo', 'Discordo totalmente', 'Discordo']"
APLRF,A aplicação dos recursos financeiros da UFJF é satisfatória quanto à (ao):,APLRF[InCapS],Investimento na capacitação dos servidores (docentes e TAEs),"['Não concordo nem discordo', 'Discordo totalmente', 'Discordo totalmente', 'Não sei / Não se aplica', 'Não concordo nem discordo', 'Concordo', 'Não concordo nem discordo', 'Não concordo nem discordo', 'Discordo', 'Discordo', 'Concordo totalmente', 'Não sei / Não se aplica', 'Não concordo nem discordo', 'Concordo', 'Não sei / Não se aplica', 'Concordo totalmente', 'Discordo', 'Discordo totalmente', 'Concordo', 'Discordo', 'Discordo']"
APLRF,A aplicação dos recursos financeiros da UFJF é satisfatória quanto à (ao):,APLRF[BProj],Bolsas para projetos de pesquisa e extensão,"['Discordo', 'Discordo totalmente', 'Discordo totalmente', 'Discordo totalmente', 'Concordo', 'Concordo', 'Discordo', 'Discordo', 'Discordo totalmente', 'Não concordo nem discordo', 'Concordo', 'Discordo', 'Concordo', 'Concordo', 'Discordo', 'Concordo totalmente', 'Discordo', 'Discordo totalmente', 'Concordo', 'Discordo', 'Não concordo nem discordo']"
APLRF,A aplicação dos recursos financeiros da UFJF é satisfatória quanto à (ao):,APLRF[BMoTP],"Bolsas para monitoria, tutoria e treinamento profissional","['Discordo', 'Discordo totalmente', 'Concordo totalmente', 'Discordo totalmente', 'Não sei / Não se aplica', 'Concordo', 'Concordo', 'Discordo', 'Discordo', 'Discordo', 'Concordo', 'Discordo', 'Concordo', 'Discordo', 'Discordo', 'Concordo totalmente', 'Concordo', 'Discordo totalmente', 'Concordo', 'Discordo', 'Não concordo nem discordo']"
